#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             6.0,        9, 0.07021792185178853,                5.0,                  5.0
             4.0,        7, 0.06467842210735696,   4.27420407726868,                  5.0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             8.0,       10, 0.07334630941228458,                5.0,                  5.0
             8.0,       10, 0.07581786653762912,                5.0,                  5.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             3.0,        6, 0.05981904856796998,                5.0,                  5.0
             2.0,        7, 0.05968485666269821,                5.0,                  5.0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             2.0,        6, 0.05822390863185805,                5.0,                  5.0
             5.0,        9, 0.07034453229348563,                5.0,                  5.0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             3.0,        7, 0.06284687835250738,                5.0,                  5.0
             6.0,        9, 0.07743871452749883,                5.0,                  5.0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             2.0,        6, 0.05923872199252656,                5.0,                  5.0
             5.0,        9, 0.07182526105201609,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             4.0,        9, 0.06396783220322136,                5.0,                  5.0
             3.0,        7, 0.05899652869251372,  2.665208500417986,                  5.0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             5.0,        8, 0.06947390458552823,                5.0,                  5.0
             3.0,        5, 0.06947376674073596,                5.0,                  5.0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             7.0,       10, 0.07217242316134014,  4.442911097054962,                  5.0
             4.0,        7, 0.06780115803137006,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             4.0,        9, 0.06396783220322136,                5.0,                  5.0
             8.0,       10, 0.07605854354492704,                5.0,                  5.0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             6.0,       10, 0.07094395037265801,                5.0,                  5.0
             8.0,        7, 0.06900826487725083,                5.0,                  5.0
             7.0,       10, 0.07094712080288014,                5.0,                  5.0
             4.0,        7, 0.06267126408715941,                5.0,                  5.0
             2.0,        4, 0.06758198481166577,                5.0,                  5.0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
