#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             5.0,        6, 0.05993022039293319,  4.847763403724203,                  5.0
             8.0,       10, 0.069854494056977,                5.0,                  5.0
             8.0,        1, 0.32879662555420736, 3.9781254639162005,                  5.0
             4.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             7.0,        9, 0.14575652340203912,                5.0,                  5.0
             7.0,        9, 0.11851301650321207,                5.0,                  5.0
             7.0,        6, 0.1884802072396213,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             9.0,       10, 0.09481212076564295,                5.0,                  5.0
             8.0,        9, 0.09098672101304958,  4.102329836595478,                  5.0
             6.0,        1, 0.710924272578675,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             7.0,       10, 0.16137385590909975,  4.615531741237645,                  5.0
             7.0,        9, 0.09473747781063045,                5.0,                  5.0
             6.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             6.0,        9, 0.0966236081032177,                5.0,                  5.0
             6.0,        9, 0.0790978833696187,                5.0,                  5.0
             8.0,        0,         -1,                0.0,                  0.0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             8.0,       10, 0.11455693988754974,   3.53979406216277,                  5.0
             8.0,        9, 0.14494434188600286,                5.0,                  5.0
             6.0,        1, 0.710924272578675,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             9.0,       10, 0.07658759185764719,                5.0,                  5.0
             7.0,        5, 0.06855709887216145,                5.0,                  5.0
             6.0,        1, 0.2527640571908685,                5.0,                  5.0
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             8.0,       10, 0.14246823588251353,                5.0,                  5.0
             8.0,        9, 0.10035368818195853,                5.0,                  5.0
             8.0,        1, 0.5418282394614383,                0.0,                  0.0
             6.0,        1, 0.710924272578675,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             7.0,       10, 0.16137385590909975,  4.615531741237645,                  5.0
             8.0,       10, 0.0892724831764191,                5.0,                  5.0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             6.0,        9, 0.08906102926508176,                5.0,                  5.0
             7.0,        9, 0.14838322484108,   3.80140112974426,                  5.0
             6.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             8.0,        1, 0.5418282394614383,                0.0,                  0.0
             4.0,        1, 0.710924272578675,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             8.0,       10, 0.11455693988754974,   3.53979406216277,                  5.0
             8.0,        9, 0.14494434188600286,                5.0,                  5.0
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             6.0,        9, 0.08906102926508176,                5.0,                  5.0
             8.0,        8, 0.0647141928309502,  4.478216565431967,                  5.0
             7.0,        1, 0.32879662555420736, 3.9781254639162005,                  5.0
             5.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             6.0,        9, 0.08848518264538702,                5.0,                  5.0
             8.0,        8, 0.06737962865661805,                5.0,                  5.0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             8.0,       10, 0.1398288527225841,                5.0,                  5.0
             6.0,        5, 0.06923260727666512,                5.0,                  5.0
             7.0,        5, 0.2527640571908685,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             8.0,       10, 0.1398288527225841,                5.0,                  5.0
             6.0,        5, 0.06923260727666512,                5.0,                  5.0
             6.0,        5, 0.2527640571908685,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             8.0,       10, 0.1398288527225841,                5.0,                  5.0
             8.0,        9, 0.12440539891584677, 3.2338997294674114,                  5.0
             8.0,        1, 0.710924272578675,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             7.0,        9, 0.13936934710756257,                5.0,                  5.0
             4.0,        3, 0.07009820364970477,                5.0,                  5.0
             5.0,        3, 0.039743884401395695,                5.0,                  5.0
             5.0,        3, 0.1884802072396213,                5.0,                  5.0
             6.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             6.0,        9, 0.10977586219017034,                5.0,                  5.0
             6.0,        9, 0.06905209952119169,                5.0,                  5.0
             9.0,        0,         -1,                0.0,                  0.0
             6.0,        1, 0.5418282394614383,                0.0,                  0.0
             8.0,        1, 0.710924272578675,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             4.0,        5, 0.1061905191433097,                5.0,                  5.0
             8.0,        9, 0.10980418929498117,                5.0,                  5.0
             7.0,        6, 0.18848027616201743,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             7.0,        9, 0.14575652340203912,                5.0,                  5.0
             6.0,        6, 0.06605556050449887,                5.0,                  5.0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             7.0,       10, 0.15260410130268692,                5.0,                  5.0
             7.0,        9, 0.11930197117175136,                5.0,                  5.0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             7.0,        9, 0.14575652340203912,                5.0,                  5.0
             7.0,        9, 0.11851301650321207,                5.0,                  5.0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             8.0,       10, 0.11455693988754974,   3.53979406216277,                  5.0
             5.0,        1, 0.09750629723049843,                5.0,                  5.0
             6.0,        6, 0.039743884401395695,                5.0,                  5.0
             6.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
