#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             6.0,        9, 0.07021792185178853,                5.0,                  5.0
             4.0,        7, 0.06467842210735696,   4.27420407726868,                  5.0
             5.0,        6, 0.1884802072396213,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             2.0,        5, 0.060671480763348155,                5.0,                  5.0
             3.0,        4, 0.07100198303020235,                5.0,                  5.0
             2.0,        5, 0.08942831671407676,                5.0,                  5.0
             5.0,        1, 0.1884802072396213,                5.0,                  5.0
             2.0,        5, 0.2527640571908685,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             3.0,        7, 0.06284687835250738,                5.0,                  5.0
             6.0,        9, 0.07743871452749883,                5.0,                  5.0
             6.0,        6, 0.1884802072396213,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             4.0,        9, 0.06396783220322136,                5.0,                  5.0
             3.0,        7, 0.05899652869251372,  2.665208500417986,                  5.0
             6.0,        7, 0.13279587357633738, 3.9565692460611386,                  5.0
             5.0,        0,         -1,                  0,                    0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             5.0,        9, 0.0673180809568709,                5.0,                  5.0
             7.0,       10, 0.07295986153716448,                5.0,                  5.0
             4.0,        2, 0.3287966944766035, 3.9781254639162005,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             4.0,        9, 0.06396783220322136,                5.0,                  5.0
             8.0,       10, 0.07605854354492704,                5.0,                  5.0
             8.0,        4, 0.32879662555420736, 3.9781254639162005,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.07094712080288014,                5.0,                  5.0
             4.0,        7, 0.06267126408715941,                5.0,                  5.0
             2.0,        4, 0.06758198481166577,                5.0,                  5.0
             6.0,        9, 0.039743953323791825,                5.0,                  5.0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             4.0,        7, 0.06393343992755078,                5.0,                  5.0
