#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             3.0,        5, 0.09907724540556755,                5.0,                  5.0
             7.0,        9, 0.10456863731749799,                5.0,                  5.0
             8.0,        1, 0.13279587357633738, 3.9565692460611386,                  5.0
             2.0,        5, 0.1884802072396213,                5.0,                  5.0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             6.0,        9, 0.10977586219017034,                5.0,                  5.0
             7.0,        9, 0.11058211638013912,                5.0,                  5.0
             3.0,        1, 0.5418282394614383,                0.0,                  0.0
             2.0,        1, 0.710924272578675,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             6.0,        9, 0.0966236081032177,                5.0,                  5.0
             2.0,        3, 0.0664950786246417,                5.0,                  5.0
             2.0,        0,         -1,                5.0,                  5.0
             5.0,        5, 0.08367949965258797,                5.0,                  5.0
             1.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             8.0,       10, 0.14246823588251353,                5.0,                  5.0
             7.0,        9, 0.10295350988650737,                5.0,                  5.0
             1.0,        0,         -1,                0.0,                  0.0
             6.0,        0,         -1,                0.0,                  0.0
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             7.0,        9, 0.13936934710756257,                5.0,                  5.0
             3.0,        3, 0.06475733825092972,                5.0,                  5.0
             3.0,        5, 0.039743953323791825,                5.0,                  5.0
             3.0,        5, 0.059923534920508253,  4.825237882941892,                  5.0
             3.0,        7, 0.06359689186723128,                5.0,                  5.0
             7.0,        8, 0.1851593194267246,                5.0,                  5.0
             8.0,        9, 0.0655644195096521,                5.0,                  5.0
             8.0,        0,         -1,                0.0,                  0.0
             4.0,        0,         -1,                0.0,                  0.0
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             2.0,        6, 0.06806134007677374,                5.0,                  5.0
             3.0,        9, 0.09522145087627934,                5.0,                  5.0
             0.0,        2, 0.061723856829909385,                5.0,                  5.0
             1.0,        5, 0.06152267235559593,                5.0,                  5.0
             0.0,        2, 0.11359161280730502,                5.0,                  5.0
             8.0,        2, 0.08619392650832751,                5.0,                  5.0
             2.0,        5, 0.08193190337622891,                5.0,                  5.0
             8.0,        4, 0.0678793849509815,                5.0,                  5.0
             7.0,        5, 0.08140657687289997,  4.675933823313986,                  5.0
             1.0,        1, 0.13279587357633738, 3.9565692460611386,                  5.0
             7.0,        3, 0.18848027616201743,                5.0,                  5.0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             2.0,        4, 0.06491648006360179,  4.751656452040557,                  5.0
             2.0,        7, 0.10844614240156822,                5.0,                  5.0
             9.0,        9, 0.039743953323791825,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             8.0,       10, 0.1398288527225841,                5.0,                  5.0
             8.0,        9, 0.12440539891584677, 3.2338997294674114,                  5.0
             3.0,        1, 0.710924272578675,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
